Ticker	CIK
ibn	1103838
d	715957
f	37996
safry	1364012
wm	823768
etn	1551182
wday	1327811
itub	1132597
ecl	31462
noc	1133421
dash	1792789
pdrdy	899108
emr	32604
vnja	1532383
pgr	80661
hum	49071
glncy	1524684
beke	1809587
crwd	1535527
nxpi	1413447
lnsty	1439584
hmc	715153
gwlly	1536278
gpn	1123360
dkily	1446519
twtr	1418091
bbd	1160330
bcmxy	1447011
docu	1261333
fcx	831259
abev	1565025
bntx	1776985
gd	40533
aon	315293
idxx	874716
ubs	1610520
ifnny	1107457
tak	1395064
dnzoy	1446598
epd	1061219
lzagy	1446711
spot	1639920
psa	1393311
met	1099219
vrtx	875320
biib	875045
cvna	1690820
ing	1039765
relx	929869
rblx	1315098
cm	1045520
dg	29534
race	1648416
csuay	1445470
nem	1164727
kdp	1418135
pins	1506293
wfafy	1436381
khc	1637459
puk	1116578
scco	1001838
klac	319201
amx	1129137
rop	882835
pltr	1321655
lulu	1397187
tri	1075124
vlvly	753762
jci	833444
mraay	1450468
eog	821189
trp	1232384
cicoy	1445161
algn	1097149
mnst	865752
ebay	1065088
mrvl	1835632
vod	839923
info	1598014
veev	1393052
olcly	1545460
dow	1751788
ntoiy	1436791
fanuy	1446596
sxyay	1575851
smfg	1022837
iqv	1478242
jmhly	870016
lyg	1160106
bili	1723690
danoy	1048515
wba	1618921
ngg	1004315
phg	313216
kmb	55785
stz	16918
a	1090872
trow	1113169
bk	1390777
slb	87347
tel	1385157
bce	718940
mtch	891103
mar	1048286
lhx	202058
rost	745732
tt	1466258
msci	1408198
e	1002242
cmg	1058090
exc	1109357
gld	1222333
itocy	355363
crary	1279967
cnq	1017413
spg	1063761
gvdny	1121631
ecify	1387438
wit	1123799
aptv	1521332
cnc	1071739
dlr	1297996
knyjy	1436793
aep	4904
carr	1783180
nvzmy	1131345
snps	883241
eric	717826
svndy	1359519
khngy	1451287
ea	712515
bbva	842180
dxcm	1093557
kmi	1506307
dd	1666700
bcs	312069
mchp	827054
aph	820313
aig	5272
alxn	899866
sre	1032208
bax	10456
pru	1137774
lvs	1300514
ppg	79879
crh	849395
ovchy	1448817
ctas	723254
syy	96021
pxd	1038357
ph	76334
orly	898173
mpc	1510295
all	899051
ftnt	1262039
hnnmy	1396282
payx	723531
rkt	1805284
mfc	1086888
cdns	813672
trv	86312
psx	1534701
zijmy	1459580
okta	1660134
iff	51253
gis	40704
vonoy	1652630
pton	1639825
hcmly	948696
msi	68505
gold	756894
vivhy	1127055
su	311337
ctsh	1058290
afl	4977
hpq	47217
dfs	1393612
panw	1327567
hsy	47111
rmd	943819
cmi	26172
xpev	1810997
xlnx	743988
tdg	1260221
xel	72903
clpby	1294325
bf-a	14693
codyy	1012037
rsg	1060391
otis	1781335
mfg	1335730
alc	1167379
sbac	1034054
glw	24741
mtcpy	1159204
lgfry	1554394
well	766704
path	1734722
ntr	1725964
kkr	1404912
lyb	1489393
yum	1041061
schyy	1491703
htht	1483994
adm	7084
dnhby	1498632
hlt	1585689
zbh	1136869
rht	1087423
asazy	1253493
ashty	1518258
rok	1024478
swk	93556
poahy	1450346
frc	1132979
net	1477333
stm	932787
rdsmy	1339422
iau	1278680
ctva	1755672
w	1616707
lbrda	1611983
dhi	882184
cgemy	1084656
ahchy	1448987
alpmy	1446390
chwy	1766502
mt	1243429
wmb	107263
mtd	1037646
vfc	103379
azo	866787
dboey	1437147
ddog	1561550
nwg	844150
vlo	1035002
kbcsy	1411133
amady	1502104
chcjy	1495687
swks	4127
bgne	1651308
cht	1132924
li	1791706
luv	92380
ccl	815097
wcn	1318220
cprt	900075
ferg	1832433
arzgy	1379235
pcar	75362
gelyy	1474968
ame	1037868
mplx	1552000
u	1810806
trumy	1446672
len	920760
mck	927653
oran	1038143
zlndy	1638747
nok	924613
tu	868675
anss	1013462
fmx	1061736
sivb	719739
slf	1097362
peg	788784
zg	1617640
ec	1444406
crbjy	1454471
fast	815556
ckhuy	1637120
cjpry	1334687
wltw	1140536
zs	1713683
odfl	878927
viac	813828
oxy	797468
wegzy	1445166
efx	33185
avb	915912
amc	1411579
ndaq	1120193
amp	820027
epam	1352010
bby	764478
eqr	906107
cbre	1138118
et	1276187
nue	73309
kr	56873
sgen	1060736
stt	93751
awk	1410636
mgddy	896076
keys	1601046
zbra	877212
vrsk	1442145
mxim	743316
syf	1601712
cabhf	1436647
wec	783325
dia	1041130
mga	749098
yumc	1673358
lu	1816007
grmn	1121788
fnv	1456346
dal	27904
anet	1596532
es	72741
gwlif	850918
ajg	354190
app	1751008
ibkr	1381197
tyidy	1130894
hubs	1404655
mdy	936958
ccep	1650107
ejpry	1093028
ctryy	1462886
db	1159508
cmaky	1453056
lh	920148
cuk	1125259
hes	4447
tsn	100493
rci	733099
fitb	35527
are	1035443
gbery	1179029
siri	908937
gmab	1434265
bll	9389
wst	105770
rng	1384905
futu	1754581
tme	1744676
etsy	1370637
gnrc	1474735
work	1764925
hrl	48465
saxpy	1436778
wy	106535
ksu	54480
tdoc	1477449
ed	1047862
vrsn	1014473
tef	814052
caixy	1535628
yndx	1513845
zto	1677250
o	726728
ssmxy	1517231
enph	1463101
rprx	1802768
fojcy	1436740
oke	1039684
anyyy	1700171
fms	1333141
gasny	1269920
rweoy	939380
cdw	1402057
cs	1159510
ryaay	1038683
xp	1787425
csx	277948
ntrs	73124
expe	1324424
splk	1353283
ip	51434
caj	16988
tscdy	885834
tlpfy	1450682
bkr	1701605
abc	1140859
sonvy	1450681
ftv	1659166
mkc	63754
cern	804753
yahoy	1446437
ztcoy	1445156
umc	1033767
mtsfy	1446641
cjewy	1555574
baesy	895564
sgsoy	1069347
pkx	889132
vmc	1396009
uri	1067701
dltr	935703
pcg	1004980
nvcr	1645113
cnhi	1567094
tcom	1269238
gww	277135
aonny	1300175
gctay	1158089
otsky	1544613
mdb	1441816
svnly	1448613
clx	21076
gib	1061574
imo	49938
ter	97210
smnny	1640117
hig	874766
dish	1001082
qrvo	1604778
lng	3570
eix	827052
mlm	916076
exr	1289490
k	55067
payc	1590955
wdc	106040
rcl	884887
thlly	1722401
dov	29905
czr	1590895
xyl	1524472
cncn	1191334
frrvy	1438571
ppl	922224
tlk	1001807
tsco	916365
burl	1579298
cqp	1383650
vtr	740260
xngsy	1454948
fandy	1454175
expd	746515
dte	936340
flt	1175454
exas	1124140
wat	1000697
txg	1770787
invh	1687229
hban	49196
kmx	1170010
foxa	1754301
weicy	1452191
tru	1552033
hznp	1492426
mgm	789570
chd	313927
rnecy	1246135
it	749251
stne	1745431
fts	1666175
dkng	1772757
avtr	1722482
szkmy	1263521
hal	45012
ttwo	946581
ste	1757898
trmb	864749
ir	1699150
aee	1002910
logi	1032975
zi	1794515
imbby	1072670
ppccy	1446747
skm	1015650
fe	1031296
stx	1137789
lb	701985
key	91576
etr	65984
alny	1178670
lyft	1759509
wpm	1323404
qsr	1618756
dvn	1090012
nrily	1179493
sbhmy	1604982
alb	915913
tw	1758730
xm	1747748
ui	1511737
prdsy	1527249
grub	1792627
cfg	759944
coo	711404
ess	920522
tdy	1094285
ix	1070304
plug	1093691
rf	1281761
haity	1553473
cve	1475260
bio	12208
maa	912595
coup	1385867
kb	1445930
snmry	1437771
sui	912593
lyv	1335258
ulta	1403568
dri	940944
snn	845982
ucbjy	1290640
tsgty	939383
hpe	1645590
akam	1086222
syiey	1444718
cinf	20286
tfx	96943
br	1383312
alsmy	1062066
mtb	36270
crl	1100682
xyigy	1508669
wmg	1319161
shg	1263043
incy	879169
ally	40729
ssnc	1402436
tyl	860731
ctlt	1596783
pool	945841
pags	1712807
ntap	1002047
gpc	40987
podd	1145197
tlsny	1169870
dpz	1286681
nvr	906163
hei	46619
peak	765880
dvcmy	1163417
bsy	1031308
bxp	1037540
ftch	1740915
afrm	1820953
rjf	720005
egrny	1595085
dre	783280
cag	23217
amcr	1748790
mktx	1278021
bpy	1545772
tech	842023
avy	8818
ttm	926042
aes	874761
j	52988
pba	1546066
asx	1122411
lsxma	1560385
pki	31791
vtrs	1792044
hdely	1400691
jbht	728535
omc	29989
pfg	1126328
zen	1463172
bill	1786352
cms	811156
holx	859737
rkuny	1294591
mpwr	1280452
ce	1306830
fang	1539838
cghly	1550635
ual	100517
rol	84839
nuan	1002517
zlab	1704292
clvt	1764046
iex	832101
entg	1101302
vici	1705696
dt	1773383
cah	721371
ptc	857005
cg	1527166
bip	1406234
elan	1739104
wix	1576789
on	1097864
mkl	1096343
tal	1499620
wpp	806968
ckisy	1065989
whlkf	1449594
ppd	1793294
suz	909327
ben	38777
tif	98246
dgx	1022079
oaofy	1058255
agl	1831097
agr	1634997
emn	915389
bz	1842827
sgioy	1281721
elp	1041792
nlok	849399
pubgy	1050952
nvax	1000694
acgl	947484
chkp	1015922
atus	1702780
grfs	1438569
nmr	1163653
xpo	1166003
ntco	1776967
nice	1003935
argx	1697862
wab	943452
lbtya	1570585
txt	217346
enia	912505
szsay	1444147
sofi	1818874
fujhy	800364
bmrn	1048477
maruy	801645
gme	1326380
tsp	1823593
lumn	18926
jhx	1159152
szlmy	1438844
bro	79282
hwm	4281
mas	62996
gds	1526125
lkq	1065696
cgnx	851205
aem	2809
nwsa	1564708
atasy	1437775
alfvy	863344
moh	1179929
edu	1372920
nngry	1690981
fico	814547
umicy	1477038
gddy	1609711
ctxs	877890
udr	74208
apo	1411494
sjr	932872
disca	1437107
kkoyy	1436794
bntgy	1533945
l	60086
abmd	815094
sedg	1419612
phm	822416
viv	1066119
cday	1725057
coihy	1513977
ldos	1336920
rh	1528849
wynn	1174922
ednmy	1581671
sbny	1288784
gdrx	1809519
smfky	1537547
osh	1564406
jbaxy	1475011
sjm	91419
wrk	1732845
kep	887225
clr	732834
ranjy	1112439
lnt	352541
fmc	37785
clpxy	1490083
avlr	1348036
amigy	1438930
iep	813762
otex	1002638
evrg	1711269
cpb	16732
xray	818479
fbhs	1519751
cck	1219601
iac	1800227
tuya	1829118
rlx	1828365
ccozy	1398879
cvac	1809122
whr	106640
vips	1529192
aal	6201
ebr	1439124
uwmc	1783398
els	895417
cnp	1130310
ach	1161611
aap	1158449
mhk	851968
swmay	1011218
dqjcy	1446597
masi	937556
psmmy	1439580
wpc	1025378
lii	1069202
mtuay	1342237
wrb	11544
vedl	1370431
cchgy	1558633
kkpny	1001474
ndvly	800928
estc	1707753
yasky	1559460
eqh	1333986
has	46080
cpt	906345
jxhly	1487533
ath	1527469
ts	1190723
cxo	1358071
pkg	75677
kikoy	1446656
ggg	42888
dva	927066
ipg	51644
ndsn	72331
mtn	812011
gps	39911
fds	1013237
cboe	1374310
cgasy	1555207
znh	1041668
pwr	1050915
stld	1022671
iktsy	1444714
fnf	1331875
ato	731802
gh	1576280
sam	949870
amh	1562401
alle	1579241
magoy	1437144
sbysf	1783546
uhs	352915
sqm	909037
chrw	1043277
nly	1043219
tpl	1811074
cna	21175
cheoy	1453930
cx	1076378
sbsw	1786909
ivz	914208
iq	1722608
fivn	1288847
teck	886986
zlioy	1546084
ozon	1822829
crsp	1674416
ihg	858446
irm	1020569
bki	1627014
rdy	1135951
pcor	1611052
fosuy	1462456
jkhy	779152
tpr	1116132
mos	1285785
sid	1049659
cnpay	1450278
sna	91440
hst	1070750
mcfe	1783317
wsm	719955
wb	1595761
jpxgy	1600520
lnc	59558
penn	921738
gjnsy	1531384
qs	1811414
dbx	1467623
rnlsy	1416039
warfy	901684
mpw	1287865
lw	1679273
chgg	1364954
trex	1069878
monoy	1583055
frfhf	915191
ttc	737758
smtoy	95227
stbfy	1587200
nwl	814453
tap	24545
aseky	1450206
abmrf	1784384
bwa	908255
wlk	1262823
aos	91142
uhal	4457
cabo	1632127
znga	1439404
bah	1443646
kof	910631
brkr	1109354
emraf	1127248
rpm	110621
shwgy	1505223
axon	1069183
run	1469367
pega	1013857
cree	895419
ipgp	1111928
wtrg	78128
pnr	77360
ahexy	1446251
lnegy	1437041
ophly	940821
ffiv	1048695
wso	105016
sc	1580608
levi	94845
fnd	1507079
spce	1706946
bg	1144519
ndeky	353991
qgen	1015820
morn	1289419
cf	1324404
ntla	1652130
dar	916540
ipxhy	1309035
lspd	1823306
rgen	730272
teva	818686
iclr	1060955
cea	1030475
mmp	1126975
reg	910606
nclh	1513761
five	1177609
smmyy	1551402
lpla	1397911
glpi	1575965
clf	764065
mrvi	1823239
mro	101778
hsic	1000228
prah	1613859
rmyhy	1636804
smg	825542
deck	910521
chpt	1777393
bmbl	1830043
bep	1533232
hrgly	1528651
afg	1042046
lamr	1090425
lea	842162
ver	1507385
bhc	885590
oled	1005284
lad	1023128
gfl	1780232
lfst	1845257
kl	1713443
remyy	1552653
pcty	1591698
shmay	1555379
ares	1176948
iliay	1570932
cp	16875
open	1801169
oc	1370946
sgpyy	1253494
ewbc	1069157
trgp	1389170
efgsy	1445153
asan	1477720
hubb	48898
erie	922621
jazz	1232524
re	1095073
mdiby	1379481
oukpy	1436786
kotmy	1543727
ggb	1073404
rhi	315213
jll	1037976
uelmo	100826
pen	1321732
csl	790051
ntra	1604821
pfpt	1212458
bch	1161125
dlb	1308547
cma	28412
shcay	800840
iaugy	1206571
rdeiy	1438654
bynd	1655210
dxc	1688568
isuzy	763665
dox	1062579
nrg	1013871
mksi	1049502
curlf	1756770
klycy	1449614
agco	880266
gl	320335
mndy	1845338
pltk	1828016
ssl	314590
ugi	884614
bap	1001290
appn	1441683
midd	769520
fslr	1274494
vrt	1674101
rs	861884
ni	1111711
wal	1212545
upst	1647639
cold	1455863
fhn	36966
japsy	318269
dnli	1714899
bak	1071438
arvl	1835059
prymy	1437672
armk	1584509
aiz	1267238
crct	1828962
ggdvy	925428
wu	1365135
gwre	1528396
bsac	1027552
azpn	929940
acm	868857
stor	1538990
cube	1298675
shtdy	1556605
y	775368
cgc	1737927
atr	896622
cms-pb	201533
pnw	764622
asgly	7646
dnb	1799208
synh	1610950
manh	1056696
nbix	914475
asai	1834048
aci	1646972
st	1477294
grpty	1395167
frt	34903
aqn	1174169
bbio	1743881
ksryy	1668501
pso	938323
ua	1336917
see	1012100
siely	1453732
smar	1366561
aacay	1447647
cae	1173382
kim	879101
glob	1557860
sci	89089
psxp	1572910
bfam	1437578
jnpr	1043604
aemmy	1437776
adt	1703056
wrtby	1436771
dks	1089063
vst	1692819
vno	899689
flex	866374
csan	1430162
agnc	1423689
seic	350894
wes	1423902
nlsn	1492633
bldr	1316835
icl	941221
cien	936395
bery	1378992
aeg	769218
psfe	1833835
cone	1553023
cbsh	22356
wfg	1402388
sommy	1409236
fvrr	1762301
wex	1309108
zion	109380
rl	1037038
cpri	1530721
jbl	898293
arcc	1287750
arwr	879407
kss	885639
sklz	1801661
osk	775158
alv	1034670
dseey	1481045
ubsfy	1446702
tfii	1588823
usfd	1665918
g	1398659
bsmx	1698287
ohi	888491
shpmy	1570300
hii	1501585
jef	96223
rohcy	1442653
atdry	1647435
wms	1604028
arw	7536
slfpy	1370418
pii	931015
cnxc	1803599
phys	1477049
lsi	944314
wynmy	1480134
zayo	1608249
ggmc	1818880
mrtx	1576263
miufy	1447113
slv	1330568
tixt	1825155
nnn	751364
ovv	1792580
hmtly	353990
paa	1070423
tokuy	1131652
apa	1841666
wish	1822250
fate	1434316
bmrry	1671235
glbe	1835963
krc	1025996
sqsp	1496963
roymy	1592438
mrwsy	1446128
tlry	1731348
sepjy	1518521
fcnca	798941
omf	1584207
beam	1745999
ntnx	1618732
uthr	1082554
figs	1846576
kgc	701818
yeti	1670592
mbt	1115837
athm	1527636
gntx	355811
dci	29644
amed	896262
gfi	1172724
tv	912892
mlco	1381640
h	1468174
dnfgy	1454473
hegiy	1449217
itt	216228
mtz	15615
hllgy	1674534
leco	59527
nfe	1749723
lpl	1290109
ehc	785161
bc	14930
gmed	1237831
rga	898174
wwd	108312
au	1067428
skx	1065837
rtmvy	1516536
tpx	1206264
plan	1540755
ccoey	1551467
pvh	78239
lscc	855658
chdn	20212
rexr	1571283
an	350698
ccj	1009001
xlrn	1280600
zh	1835724
iivi	820318
crox	1334036
ori	74260
four	1794669
kc	1795589
che	19584
tx	1342874
hrc	47518
tdhoy	1288098
malry	1537280
fsv	1637810
knx	1492691
jsgry	1442656
site	1650729
stwd	1465128
alk	766421
acsay	1448375
rgld	85535
lazr	1758057
cciv	1811210
voya	1535929
xec	1168054
cacc	885550
sgms	750004
airc	1820877
pacb	1299130
rnr	913144
oln	74303
upwk	1627475
iaa	1745041
gil	1061894
azek	1782754
wf	1264136
nyt	71691
furcf	1559444
surry	1556607
vlpny	1378984
pbct	1378946
bncdy	1667075
bepc	1791863
tol	794170
gtbif	1795139
casy	726958
edr	1766363
suopy	1347141
coty	1024305
thc	70318
staa	718937
chng	1756497
eeft	1029199
negg	1474627
cfr	39263
nkla	1731289
itvpy	1283708
axta	1616862
apps	317788
asnd	1612042
brks	933974
cib	1071371
frpt	1611647
mituy	1446420
hog	793952
mat	63276
ffin	36029
pe	1594466
post	1530950
cog	858470
nvst	1757073
tiscy	773917
bb	1070235
leg	58492
fsly	1517413
byd	906553
dava	1656081
clzny	1366235
hwdjy	1563177
aa	1675149
dada	1793862
sgfy	1828182
slab	1038074
shc	1822479
felty	1447250
faf	1472787
angi	1705110
sf	720672
vac	1524358
brx	1581068
asomy	1492075
crcby	1553915
oge	1021635
wh	1722684
htcmy	1446648
zhuzy	1556616
fr	921825
nvta	1501134
cnvvy	1694271
son	91767
eme	105634
lmnd	1691421
pnfp	1115055
hqy	1428336
txrh	1289460
aer	1378789
jhg	1274173
woof	1826470
ayi	1144215
pb	1068851
swav	1642545
dv	1819928
mpfry	1417695
wsc	1647088
ttek	831641
chh	1046311
slm	1032033
kt	892450
rdfn	1382821
egp	49600
srcl	861878
dooo	1748797
omcl	926326
bld	1633931
colm	1050797
rba	1046102
foxf	1424929
bj	1531152
snv	18349
hbi	1359841
twst	1581280
plnt	1637207
pfgc	1618673
msa	66570
cohr	21510
man	871763
mstr	1050446
x	1163302
kajmy	1446660
halo	1159036
sfix	1576942
bl	1666134
fybr	20520
acc	1283630
rare	1515673
ogfgy	845033
lpx	60519
amg	1004434
aval	1504764
dcp	1338065
sjmhy	1599962
gwr	1012620
fl	850209
ai	1577526
qfin	1741530
mpln	1793229
reyn	1786431
medp	1668397
lhcg	1303313
nxst	1142417
snx	1177394
mnso	1815846
bhvn	1689813
imab	1778016
mdu	67716
bgaoy	1325378
aeo	919012
mp	1801368
cakfy	1446707
lfus	889331
tho	730263
ely	837465
lite	1633978
hnp	929058
vir	1706431
eqt	33213
cfx	1420800
jcom	1084048
srpt	873303
rcm	1472595
sekey	1261759
fsk	1422183
tmx	1428875
prgo	1585364
tkr	98362
vrns	1361113
pag	1019849
tndm	1438133
lstr	853816
ingr	1046257
rxrx	1601830
cdk	1609702
enggy	1446294
bpop	763901
pri	1475922
hayw	1834622
bokf	875357
exp	918646
paas	771992
osagy	1603194
caci	16058
rxn	1439288
nov	1021860
stag	1479094
ncr	70866
abcl	1703057
mzday	1447122
uso	1327068
docn	1582961
ysg	1819580
shls	1831651
m	794367
dei	1364250
hun	1307954
vvv	1674910
shmuy	1564228
hcm	1648257
dsgx	1050140
hta	1360604
ssb	764038
jwn	72333
shlx	1610466
unm	5513
ard	1689662
nep	1603145
cor	1490892
esi	1590714
eslt	1027664
amkr	1047127
msloy	1447112
qtwo	1410384
ayx	1689923
cano	1800682
iart	917520
evr	1360901
cc	1627223
vopky	1452188
nvro	1444380
adpt	1478320
krnt	1625791
dct	1160951
diisy	1563255
vrm	1580864
exel	939767
phi	78150
sem	1320414
hlf	1180262
tfsl	1381668
fsr	1720990
ncno	1566895
hli	1302215
slg	1040971
achc	1520697
ions	874015
nkrky	1436790
mgp	1656936
expi	1495932
snphy	1501108
orcc	1655888
isday	1224306
pac	1347557
hele	916789
timb	1826168
gpk	1408075
mxchy	1435969
nati	935494
wk	1445305
legn	1801198
asmvy	1447945
asr	1123452
rykky	1592049
pstg	1474432
bwxt	1486957
celh	1341766
tuify	1342875
ektay	1451160
trip	1526520
saia	1177702
olo	1431695
adrzy	1436467
cd	1807192
src	1308606
vnt	1786842
olli	1639300
tgtx	1001316
ibrx	1326110
tdc	816761
syna	817720
bzzuy	1437774
hocff	1450349
ozk	1569650
cuz	25232
vly	714310
qdel	353569
car	723612
lpro	1806201
kzmyy	1438929
rbc	82811
clov	1801170
mms	1032220
ppc	802481
apnhy	1454177
dsey	1831617
dufry	1546354
qrtea	1355096
kbr	1357615
bldp	1453015
cr	25445
cour	1651562
hhc	1498828
brthy	14595
mdla	1540184
hfc	48039
irdm	1418819
swi	1739942
sdgr	1490978
lanc	57515
neo	1077183
cmhhy	1446751
gtls	892553
jblu	1158463
inov	1619954
ash	1674862
knbe	1664998
esgr	1363829
qts	1577368
gtes	1718512
gbci	868671
insp	1609550
meggy	1487786
fls	30625
algm	866291
jobs	1295484
virt	1592386
gbtc	1588489
nvt	1720635
hxl	717605
gfszy	1438927
pgny	1551306
asgn	890564
rpd	1560327
lesl	1821806
evbg	1437352
wen	30697
ads	1101215
drvn	1804745
altr	1701732
zim	1654126
cwen	1567683
chx	1723089
wcc	929008
yy	1530238
awi	7431
reta	1358762
bpmc	1597264
nycb	910073
flo	1128928
tnl	1361658
cit	1171825
swch	1710583
cybr	1598110
apls	1492422
saic	1571123
comp	1563190
chk	895126
clh	822818
shi	908732
esnt	1448893
sbs	1170858
spwr	867773
ocdx	1828443
msm	1003078
vmi	102729
roll	1324948
ddd	910638
ryn	52827
nomd	1651717
powi	833640
rvlv	1746618
spr	1364885
stn	1131383
rrr	1653653
atc	1762459
vzio	1835591
am	1623925
neog	711377
nrz	1556593
ida	1057877
cigi	913353
wts	795403
igt	1619762
spt	1517375
pacw	1102112
crus	772406
pk	1617406
appf	1433195
sigi	230557
thg	944695
api	1802883
cw	26324
amrs	1365916
hlne	1433642
ttec	1013880
wbs	801337
feye	1370880
gt	42582
onem	1404123
goos	1690511
ssd	920371
sim	887153
dq	1477641
upchy	1447772
tnet	937098
gshd	1726978
stl	1070154
kmpr	860748
novt	1076930
laz	1311370
kod	1468748
mlluy	1485888
ensg	1125376
cdna	1217234
nfg	70145
al	1487712
bbavy	1399224
rli	84246
fcn	887936
sail	1627857
ubsi	729986
ar	1433270
wygpy	1450021
tigr	1756699
hiw	921082
nea	1195737
prva	1759655
bxmt	1061630
ocft	1780531
wing	1636222
ab	825313
expo	851520
cldr	1535379
nari	1531048
be	1664703
asccy	1600930
he	354707
mtg	876437
trup	1371285
me	1804591
vicr	751978
ufpi	912767
amn	1142750
slgn	849869
gra	1045309
allk	1564824
iipr	1677576
bigc	1626450
hypmy	1486749
glpg	1421876
psth	1811882
pdce	77877
cri	1060822
jbt	1433660
itri	780571
fubo	1484769
xrx	1770450
tpdky	1436652
shak	1620533
msp	1724570
umbf	101382
seb	88121
trno	1476150
avnt	1122976
adc	917251
tcnnf	1754195
smtc	88941
oscr	1568651
pbsfy	1137849
nav	808450
unf	717954
btg	1429937
wwe	1091907
hasi	1561894
ccmp	1102934
fizz	69891
affs	1365555
mtsi	1493594
aciw	935036
brfs	1122491
cig	1157557
alhc	1832466
icui	883984
tenb	1660280
lpsn	1102993
grp-un	1564538
alsn	1411207
comm	1517228
rhp	1040829
rezi	1740332
cert	1827090
aeis	927003
taipy	1716957
wtfc	1015328
abcm	1492074
bcpc	9326
rnmby	1450345
newr	1448056
hr	899749
ftdr	1727263
npsky	354470
hrb	12659
adnt	1670541
frog	1800667
rdn	890926
sig	832988
pinc	1577916
kwr	81362
lgf-a	929351
sono	1314727
nova	1772695
alrm	1459200
aimc	1374535
mtdr	1520006
hpp	1482512
safm	812128
apg	1796209
pnm	1108426
ens	1289308
rrc	315852
safe	1688852
bcucy	1581285
cdlx	1666071
lope	1434588
huya	1728190
pay	1841156
sdipf	1562040
eye	1710155
msgs	1636519
box	1372612
axs	1214816
jbgs	1689796
tgna	39899
arna	1080709
cef	1726122
unvr	1494319
por	784977
env	1337619
tsuky	702257
bkh	1130464
ay	1601072
pfsi	1745916
livn	1639691
cbu	723188
olk	1835539
wri	828916
ugp	1094972
sum	1621563
enic	1659939
fti	1681459
tkc	1071321
psb	866368
auy	1264089
rxt	1810019
homb	1331520
umpq	1077771
zy	1645842
urbn	912615
aqua	1604643
swtx	1773427
lgih	1580670
viav	912093
crnc	1768267
psn	275880
maury	62919
tigo	912958
apam	1517302
kbh	795266
sgry	1638833
r	85961
ppbi	1028918
hain	910406
cnmd	816956
